Date;Location;Product;Sales
2022.08.24;Location A;Croissant;409
2022.08.24;Location C;Bread;184
2022.08.24;Location C;Pastry;154
2022.08.24;Location C;Croissant;151
2022.08.24;Location B;Pastry;238
2022.08.24;Location B;Bread;160
2022.08.24;Location B;Croissant;145
2022.08.23;Location A;Bread;466
2022.08.23;Location A;Pastry;206
2022.08.23;Location A;Croissant;449
2022.08.23;Location C;Pastry;135
2022.08.23;Location C;Croissant;212
2022.08.23;Location C;Bread;347
2022.08.23;Location B;Croissant;196
2022.08.23;Location B;Bread;159
2022.08.23;Location B;Pastry;76
2022.08.22;Location A;Bread;454
2022.08.22;Location A;Croissant;316
2022.08.22;Location A;Pastry;197
2022.08.22;Location C;Pastry;223
2022.08.22;Location C;Bread;335
2022.08.22;Location C;Croissant;340
2022.08.22;Location B;Pastry;184
2022.08.22;Location B;Bread;330
2022.08.22;Location B;Croissant;174
2022.08.21;Location A;Pastry;324
2022.08.21;Location A;Croissant;371
2022.08.21;Location A;Bread;579
2022.08.21;Location C;Croissant;395
2022.08.21;Location C;Bread;929
2022.08.21;Location C;Pastry;245
2022.08.21;Location B;Bread;497
2022.08.21;Location B;Pastry;346
2022.08.21;Location B;Croissant;263
2022.08.20;Location A;Bread;515
2022.08.20;Location A;Pastry;290
2022.08.20;Location A;Croissant;574
2022.08.20;Location C;Bread;514
2022.08.20;Location C;Croissant;264
2022.08.20;Location C;Pastry;317
2022.08.20;Location B;Croissant;281
2022.08.20;Location B;Bread;291
2022.08.20;Location B;Pastry;255
2022.08.19;Location A;Pastry;158
2022.08.19;Location A;Bread;357
2022.08.19;Location A;Croissant;582
2022.08.19;Location C;Bread;278
2022.08.19;Location C;Pastry;124
2022.08.19;Location C;Croissant;349
2022.08.19;Location B;Pastry;273
2022.08.19;Location B;Croissant;215
2022.08.18;Location A;Bread;443
2022.08.18;Location A;Croissant;370
2022.08.18;Location A;Pastry;308
2022.08.18;Location C;Croissant;241
2022.08.18;Location C;Pastry;84
2022.08.18;Location C;Bread;203
2022.08.18;Location B;Croissant;152
2022.08.18;Location B;Bread;250
2022.08.18;Location B;Pastry;205
2022.08.17;Location A;Bread;462
2022.08.17;Location A;Pastry;364
2022.08.17;Location A;Croissant;280
2022.08.17;Location C;Bread;132
2022.08.17;Location C;Pastry;180
2022.08.17;Location C;Croissant;197
2022.08.17;Location B;Pastry;292
2022.08.17;Location B;Croissant;137
2022.08.17;Location B;Bread;310
2022.08.16;Location A;Bread;450
2022.08.16;Location A;Croissant;68
2022.08.16;Location A;Pastry;173
2022.08.16;Location C;Bread;83
2022.08.16;Location C;Pastry;77
2022.08.16;Location C;Croissant;129
2022.08.16;Location B;Croissant;161
2022.08.16;Location B;Bread;90
2022.08.16;Location B;Pastry;218
2022.08.15;Location A;Bread;496
2022.08.15;Location A;Croissant;516
2022.08.15;Location A;Pastry;402
2022.08.15;Location C;Pastry;178
2022.08.15;Location C;Bread;256
2022.08.15;Location C;Croissant;110
2022.08.15;Location B;Croissant;254
2022.08.15;Location B;Pastry;66
2022.08.15;Location B;Bread;296
2022.08.14;Location A;Croissant;239
2022.08.14;Location A;Bread;349
2022.08.14;Location A;Pastry;382
2022.08.14;Location C;Croissant;244
2022.08.14;Location C;Pastry;98
2022.08.14;Location C;Bread;262
2022.08.14;Location B;Croissant;192
2022.08.14;Location B;Pastry;260
2022.08.14;Location B;Bread;412
2022.08.13;Location A;Bread;620
2022.08.13;Location A;Pastry;251
2022.08.13;Location A;Croissant;542
2022.08.13;Location C;Bread;328
2022.08.13;Location C;Pastry;165
2022.08.13;Location C;Croissant;149
2022.08.13;Location B;Bread;363
2022.08.13;Location B;Croissant;282
2022.08.13;Location B;Pastry;210
2022.08.12;Location A;Croissant;336
2022.08.12;Location A;Pastry;295
2022.08.12;Location A;Bread;589
2022.08.12;Location C;Croissant;289
2022.08.12;Location C;Pastry;199
2022.08.12;Location C;Bread;241
2022.08.12;Location B;Pastry;161
2022.08.12;Location B;Croissant;96
2022.08.12;Location B;Bread;234
2022.08.11;Location A;Bread;596
2022.08.11;Location A;Pastry;190
2022.08.11;Location A;Croissant;457
2022.08.11;Location C;Pastry;140
2022.08.11;Location C;Croissant;119
2022.08.11;Location B;Bread;326
2022.08.11;Location B;Croissant;182
2022.08.11;Location B;Pastry;178
2022.08.10;Location A;Croissant;575
2022.08.10;Location A;Pastry;256
2022.08.10;Location A;Bread;287
2022.08.10;Location C;Croissant;220
2022.08.10;Location C;Bread;465
2022.08.10;Location C;Pastry;57
2022.08.10;Location B;Bread;330
2022.08.10;Location B;Pastry;285
2022.08.10;Location B;Croissant;255
2022.08.09;Location A;Bread;304
2022.08.09;Location A;Pastry;289
2022.08.09;Location A;Croissant;301
2022.08.09;Location C;Pastry;134
2022.08.09;Location C;Croissant;175
2022.08.09;Location C;Bread;320
2022.08.09;Location B;Croissant;211
2022.08.09;Location B;Pastry;199
2022.08.09;Location B;Bread;256
2022.08.08;Location A;Bread;585
2022.08.08;Location A;Pastry;393
2022.08.08;Location A;Croissant;609
2022.08.08;Location C;Croissant;167
2022.08.08;Location C;Pastry;179
2022.08.08;Location C;Bread;65
2022.08.08;Location B;Pastry;131
2022.08.08;Location B;Bread;419
2022.08.08;Location B;Croissant;155
2022.08.07;Location A;Bread;429
2022.08.07;Location A;Croissant;647
2022.08.07;Location A;Pastry;248
2022.08.07;Location C;Croissant;147
2022.08.07;Location C;Pastry;120
2022.08.07;Location C;Bread;345
2022.08.07;Location B;Bread;553
2022.08.07;Location B;Pastry;62
2022.08.07;Location B;Croissant;242
2022.08.06;Location A;Bread;605
2022.08.06;Location A;Pastry;512
2022.08.06;Location A;Croissant;402
2022.08.06;Location C;Pastry;215
2022.08.06;Location C;Croissant;399
2022.08.06;Location C;Bread;402
2022.08.06;Location B;Pastry;267
2022.08.06;Location B;Bread;288
2022.08.06;Location B;Croissant;177
2022.08.05;Location A;Croissant;312
2022.08.05;Location A;Pastry;489
2022.08.05;Location A;Bread;530
2022.08.05;Location C;Pastry;131
2022.08.05;Location C;Croissant;144
2022.08.05;Location C;Bread;318
2022.08.05;Location B;Bread;251
2022.08.05;Location B;Croissant;205
2022.08.05;Location B;Pastry;152
2022.08.04;Location A;Pastry;312
2022.08.04;Location A;Croissant;295
2022.08.04;Location A;Bread;618
2022.08.04;Location C;Croissant;94
2022.08.04;Location C;Bread;217
2022.08.04;Location C;Pastry;147
2022.08.04;Location B;Bread;194
2022.08.04;Location B;Croissant;171
2022.08.04;Location B;Pastry;223
2022.08.03;Location A;Bread;298
2022.08.03;Location A;Croissant;474
2022.08.03;Location A;Pastry;300
2022.08.03;Location C;Bread;180
2022.08.03;Location C;Croissant;158
2022.08.03;Location C;Pastry;86
2022.08.03;Location B;Croissant;151
2022.08.03;Location B;Pastry;226
2022.08.03;Location B;Bread;332
2022.08.02;Location A;Bread;209
2022.08.02;Location A;Croissant;504
2022.08.02;Location A;Pastry;265
2022.08.02;Location C;Pastry;58
2022.08.02;Location C;Croissant;66
2022.08.02;Location C;Bread;139
2022.08.02;Location B;Bread;330
2022.08.02;Location B;Pastry;143
2022.08.02;Location B;Croissant;249
2022.08.01;Location A;Croissant;484
2022.08.01;Location A;Pastry;373
2022.08.01;Location A;Bread;409
2022.08.01;Location C;Croissant;128
2022.08.01;Location C;Pastry;156
2022.08.01;Location C;Bread;164
2022.08.01;Location B;Bread;501
2022.08.01;Location B;Croissant;393
2022.08.01;Location B;Pastry;158
2022.07.31;Location A;Croissant;211
2022.07.31;Location A;Pastry;478
2022.07.31;Location A;Bread;564
2022.07.31;Location C;Bread;420
2022.07.31;Location C;Croissant;178
2022.07.31;Location C;Pastry;184
2022.07.31;Location B;Bread;436
2022.07.31;Location B;Croissant;256
2022.07.31;Location B;Pastry;184
2022.07.30;Location A;Bread;657
2022.07.30;Location A;Croissant;590
2022.07.30;Location A;Pastry;371
2022.07.30;Location C;Bread;460
2022.07.30;Location C;Pastry;242
2022.07.30;Location C;Croissant;221
2022.07.30;Location B;Pastry;440
2022.07.30;Location B;Bread;439
2022.07.30;Location B;Croissant;132
2022.07.29;Location A;Croissant;332
2022.07.29;Location A;Bread;362
2022.07.29;Location A;Pastry;351
2022.07.29;Location C;Pastry;160
2022.07.29;Location C;Bread;204
2022.07.29;Location C;Croissant;155
2022.07.29;Location B;Pastry;260
2022.07.29;Location B;Croissant;194
2022.07.29;Location B;Bread;281
2022.07.28;Location A;Croissant;314
2022.07.28;Location A;Pastry;449
2022.07.28;Location A;Bread;449
2022.07.28;Location C;Bread;204
2022.07.28;Location C;Croissant;115
2022.07.28;Location C;Pastry;187
2022.07.28;Location B;Pastry;271
2022.07.28;Location B;Croissant;229
2022.07.28;Location B;Bread;293
2022.07.27;Location A;Croissant;443
2022.07.27;Location A;Bread;527
2022.07.27;Location A;Pastry;219
2022.07.27;Location C;Croissant;101
2022.07.27;Location C;Bread;243
2022.07.27;Location C;Pastry;131
2022.07.27;Location B;Bread;246
2022.07.27;Location B;Pastry;95
2022.07.27;Location B;Croissant;177
2022.07.26;Location A;Croissant;499
2022.07.26;Location A;Pastry;289
2022.07.26;Location A;Bread;360
2022.07.26;Location C;Pastry;119
2022.07.26;Location C;Croissant;202
2022.07.26;Location C;Bread;170
2022.07.26;Location B;Croissant;132
2022.07.26;Location B;Pastry;173
2022.07.26;Location B;Bread;327
2022.07.25;Location A;Bread;381
2022.07.25;Location A;Croissant;301
2022.07.25;Location A;Pastry;281
2022.07.25;Location C;Bread;129
2022.07.25;Location C;Croissant;83
2022.07.25;Location C;Pastry;94
2022.07.25;Location B;Pastry;256
2022.07.25;Location B;Croissant;175
2022.07.25;Location B;Bread;183
2022.07.24;Location A;Croissant;162
2022.07.24;Location A;Pastry;219
2022.07.24;Location C;Croissant;170
2022.07.24;Location C;Pastry;89
2022.07.24;Location C;Bread;180
2022.07.24;Location B;Pastry;280
2022.07.24;Location B;Bread;314
2022.07.24;Location B;Croissant;318
2022.07.23;Location A;Croissant;295
2022.07.23;Location A;Pastry;359
2022.07.23;Location A;Bread;563
2022.07.23;Location C;Bread;202
2022.07.23;Location C;Croissant;150
2022.07.23;Location C;Pastry;94
2022.07.23;Location B;Pastry;233
2022.07.23;Location B;Bread;293
2022.07.23;Location B;Croissant;286
2022.07.22;Location A;Pastry;273
2022.07.22;Location A;Croissant;309
2022.07.22;Location A;Bread;403
2022.07.22;Location C;Croissant;179
2022.07.22;Location C;Pastry;62
2022.07.22;Location C;Bread;107
2022.07.22;Location B;Croissant;165
2022.07.22;Location B;Pastry;147
2022.07.22;Location B;Bread;201
2022.07.21;Location A;Pastry;166
2022.07.21;Location A;Croissant;358
2022.07.21;Location A;Bread;482
2022.07.21;Location C;Bread;132
2022.07.21;Location C;Croissant;161
2022.07.21;Location C;Pastry;134
2022.07.21;Location B;Bread;282
2022.07.21;Location B;Croissant;180
2022.07.21;Location B;Pastry;148
2022.07.20;Location A;Croissant;568
2022.07.20;Location A;Bread;324
2022.07.20;Location A;Pastry;413
2022.07.20;Location C;Bread;147
2022.07.20;Location C;Croissant;68
2022.07.20;Location C;Pastry;117
2022.07.20;Location B;Bread;322
2022.07.20;Location B;Croissant;352
2022.07.20;Location B;Pastry;167
2022.07.19;Location A;Croissant;277
2022.07.19;Location A;Pastry;166
2022.07.19;Location A;Bread;309
2022.07.19;Location C;Croissant;136
2022.07.19;Location C;Bread;86
2022.07.19;Location C;Pastry;96
2022.07.19;Location B;Pastry;128
2022.07.19;Location B;Croissant;189
2022.07.19;Location B;Bread;134
2022.07.18;Location A;Croissant;462
2022.07.18;Location A;Bread;475
2022.07.18;Location A;Pastry;64
2022.07.18;Location C;Pastry;93
2022.07.18;Location C;Croissant;170
2022.07.18;Location C;Bread;183
2022.07.18;Location B;Pastry;244
2022.07.18;Location B;Bread;391
2022.07.18;Location B;Croissant;243
2022.07.17;Location A;Pastry;449
2022.07.17;Location A;Croissant;500
2022.07.17;Location C;Bread;243
2022.07.17;Location C;Pastry;176
2022.07.17;Location C;Croissant;283
2022.07.17;Location B;Bread;454
2022.07.17;Location B;Croissant;289
2022.07.17;Location B;Pastry;56
2022.07.16;Location A;Bread;406
2022.07.16;Location A;Croissant;367
2022.07.16;Location A;Pastry;208
2022.07.16;Location C;Croissant;158
2022.07.16;Location C;Bread;321
2022.07.16;Location C;Pastry;52
2022.07.16;Location B;Pastry;233
2022.07.16;Location B;Bread;367
2022.07.16;Location B;Croissant;114
2022.07.15;Location A;Bread;448
2022.07.15;Location A;Pastry;304
2022.07.15;Location A;Croissant;407
2022.07.15;Location C;Bread;326
2022.07.15;Location C;Pastry;161
2022.07.15;Location C;Croissant;206
2022.07.15;Location B;Croissant;225
2022.07.15;Location B;Bread;305
2022.07.15;Location B;Pastry;311
2022.07.14;Location A;Bread;521
2022.07.14;Location A;Croissant;352
2022.07.14;Location A;Pastry;219
2022.07.14;Location C;Bread;138
2022.07.14;Location C;Pastry;23
2022.07.14;Location C;Croissant;133
2022.07.14;Location B;Bread;403
2022.07.14;Location B;Pastry;267
2022.07.14;Location B;Croissant;138
2022.07.13;Location A;Bread;274
2022.07.13;Location A;Pastry;313
2022.07.13;Location A;Croissant;316
2022.07.13;Location C;Pastry;27
2022.07.13;Location C;Bread;190
2022.07.13;Location C;Croissant;162
2022.07.13;Location B;Bread;121
2022.07.13;Location B;Pastry;191
2022.07.13;Location B;Croissant;237
2022.07.12;Location A;Bread;593
2022.07.12;Location A;Croissant;304
2022.07.12;Location A;Pastry;211
2022.07.12;Location C;Bread;195
2022.07.12;Location C;Croissant;108
2022.07.12;Location C;Pastry;139
2022.07.12;Location B;Bread;235
2022.07.12;Location B;Pastry;102
2022.07.12;Location B;Croissant;144
2022.07.11;Location A;Pastry;279
2022.07.11;Location A;Bread;632
2022.07.11;Location A;Croissant;538
2022.07.11;Location C;Pastry;95
2022.07.11;Location C;Croissant;217
2022.07.11;Location C;Bread;181
2022.07.11;Location B;Bread;190
2022.07.11;Location B;Croissant;85
2022.07.11;Location B;Pastry;336
2022.07.10;Location A;Croissant;563
2022.07.10;Location A;Pastry;233
2022.07.10;Location C;Pastry;145
2022.07.10;Location C;Croissant;193
2022.07.10;Location C;Bread;189
2022.07.10;Location B;Pastry;148
2022.07.10;Location B;Bread;346
2022.07.10;Location B;Croissant;199
2022.07.09;Location A;Bread;193
2022.07.09;Location A;Croissant;330
2022.07.09;Location A;Pastry;359
2022.07.09;Location C;Pastry;98
2022.07.09;Location C;Croissant;146
2022.07.09;Location C;Bread;268
2022.07.09;Location B;Croissant;237
2022.07.09;Location B;Pastry;217
2022.07.09;Location B;Bread;205
2022.07.08;Location A;Croissant;309
2022.07.08;Location A;Bread;572
2022.07.08;Location A;Pastry;402
2022.07.08;Location C;Bread;209
2022.07.08;Location C;Pastry;196
2022.07.08;Location C;Croissant;227
2022.07.08;Location B;Croissant;136
2022.07.08;Location B;Bread;265
2022.07.08;Location B;Pastry;160
2022.07.07;Location A;Croissant;306
2022.07.07;Location A;Pastry;338
2022.07.07;Location A;Bread;744
2022.07.07;Location C;Pastry;132
2022.07.07;Location C;Croissant;77
2022.07.07;Location C;Bread;138
2022.07.07;Location B;Pastry;239
2022.07.07;Location B;Croissant;152
2022.07.07;Location B;Bread;269
2022.07.06;Location A;Pastry;288
2022.07.06;Location A;Croissant;362
2022.07.06;Location A;Bread;370
2022.07.06;Location C;Pastry;87
2022.07.06;Location C;Croissant;104
2022.07.06;Location C;Bread;156
2022.07.06;Location B;Croissant;219
